predictor,bucket_id,bin_label,edge,n_events,alert_rate,target_alert_rate,relative_error_pct,point_idx,mapping_new_fit_month,eval_month,seed
custom,2,>= 0.6,0.6,147496,0.08878884851114606,0.1,-11.211151488853947,2,4,5,1
custom,3,>= 0.8,0.8,147496,0.04135705375061018,0.05,-17.28589249877964,2,4,5,1
default,0,>= 0.2,0.2,147496,0.7194025600694256,0.7,2.7717942956322354,2,4,5,1
default,1,>= 0.5,0.5,147496,0.36201659706025924,0.35,3.43331344578836,2,4,5,1
default,2,>= 0.6,0.6,147496,0.09997559255844227,0.1,-0.024407441557738885,2,4,5,1
default,3,>= 0.8,0.8,147496,0.049519986982697835,0.05,-0.960026034604336,2,4,5,1
raw,0,>= 0.2,0.2,147496,0.002827195313771221,0.7,-99.59611495517554,2,4,5,1
raw,1,>= 0.5,0.5,147496,0.00025763410533167,0.35,-99.92639025561951,2,4,5,1
raw,2,>= 0.6,0.6,147496,0.00010169767315723816,0.1,-99.89830232684277,2,4,5,1
raw,3,>= 0.8,0.8,147496,6.779844877149211e-06,0.05,-99.98644031024571,2,4,5,1
p1,0,>= 0.2,0.2,136092,0.7251932516239015,0.7,3.599035946271645,3,5,6,1
p1,1,>= 0.5,0.5,136092,0.38825206477970786,0.35,10.929161365630824,3,5,6,1
p1,2,>= 0.6,0.6,136092,0.12609117361784675,0.1,26.091173617846742,3,5,6,1
p1,3,>= 0.8,0.8,136092,0.06589659935925697,0.05,31.79319871851394,3,5,6,1
p1_5,0,>= 0.2,0.2,136092,0.23647238632689652,0.7,-66.21823052472907,3,5,6,1
p1_5,1,>= 0.5,0.5,136092,0.13029421273844163,0.35,-62.77308207473096,3,5,6,1
p1_5,2,>= 0.6,0.6,136092,0.05578579196425947,0.1,-44.21420803574053,3,5,6,1
p1_5,3,>= 0.8,0.8,136092,0.037687740646033564,0.05,-24.62451870793288,3,5,6,1
p2,0,>= 0.2,0.2,136092,0.7124151309408342,0.7,1.7735901344048917,3,5,6,1
p2,1,>= 0.5,0.5,136092,0.3744672721394351,0.35,6.990649182695748,3,5,6,1
p2,2,>= 0.6,0.6,136092,0.12005848984510478,0.1,20.058489845104777,3,5,6,1
p2,3,>= 0.8,0.8,136092,0.06181847573700144,0.05,23.636951474002867,3,5,6,1
custom,0,>= 0.2,0.2,136092,0.7353995826352762,0.7,5.057083233610887,3,5,6,1
custom,1,>= 0.5,0.5,136092,0.38161684742674074,0.35,9.033384979068789,3,5,6,1
custom,2,>= 0.6,0.6,136092,0.11039590865003086,0.1,10.395908650030858,3,5,6,1
